Trace
Swept SA
A.24.56,N9000B
3416999671.45814,-75.0775680541992
3416999671.94014,-75.2444686889648
3416999672.42214,-75.3994369506836
3416999672.90414,-75.6935653686523
3416999673.38614,-76.2779235839844
3416999673.86814,-77.351203918457
3416999674.35014,-78.9716110229492
3416999674.83214,-80.8187866210938
3416999675.31414,-82.5554962158203
3416999675.79614,-83.8445281982422
3416999676.27814,-84.4521713256836
3416999676.76014,-84.5804061889648
3416999677.24214,-84.3844451904297
3416999677.72414,-84.0061340332031
3416999678.20614,-83.5873260498047
3416999678.68814,-83.151481628418
3416999679.17014,-82.4888000488281
3416999679.65214,-81.7382049560547
3416999680.13414,-81.0642776489258
3416999680.61614,-80.6316146850586
3416999681.09814,-80.5328078660576
3416999681.58014,-81.0787048339844
3416999682.06214,-81.7104873657227
3416999682.54414,-82.2372283935547
3416999683.02614,-82.3727874755859
3416999683.50814,-81.8417129516602
3416999683.99014,-80.6853103637695
3416999684.47214,-79.2374801635742
3416999684.95414,-77.8407974243164
3416999685.43614,-76.8378143310547
3416999685.91814,-76.4938735961914
3416999686.40014,-76.320015505972
3416999686.88214,-77.0767440795898
3416999687.36414,-77.5761947631836
3416999687.84614,-77.9353256225586
3416999688.32814,-77.9950637817383
3416999688.81014,-77.8608932495117
3416999689.29214,-77.6553115844727
3416999689.77414,-77.3547753296737
3416999690.25614,-77.4929046630859
3416999690.73814,-77.7545471191406
3416999691.22014,-78.2480316162109
3416999691.70214,-78.8648452758789
3416999692.18414,-79.4955902099609
3416999692.66614,-80.030891418457
3416999693.14814,-80.4458389282227
3416999693.63014,-80.9088973999023
3416999694.11214,-81.3136520385742
3416999694.59414,-81.5295104980469
3416999695.07614,-81.4258728027344
3416999695.55814,-80.8479080200195
3416999696.04014,-79.7529296875
3416999696.52214,-78.3748168945313
3416999697.00414,-76.9624099731445
3416999697.48614,-75.7645492553711
3416999697.96814,-74.9094619750977
3416999698.45014,-74.1441497802734
3416999698.93214,-73.5138702392578
3416999699.41414,-73.0973892211914
3416999699.89614,-72.9500589636892
3416999700.37814,-73.2305679321289
3416999700.86014,-73.8868713378906
3416999701.34214,-74.8156661987305
3416999701.82414,-75.882453918457
3416999702.30614,-76.9527435302734
3416999702.78814,-78.0466690063477
3416999703.27014,-79.4964141845703
3416999703.75214,-81.0027847290039
3416999704.23414,-82.2096405029297
3416999704.71614,-82.7608337402344
3416999705.19814,-82.2864990234375
3416999705.68014,-80.76025390625
3416999706.16214,-78.6633987426758
3416999706.64414,-76.501953125
3416999707.12614,-74.7819442749023
3416999707.60814,-73.8584671020508
3416999708.09014,-73.3921661376953
3416999708.57214,-73.2252883911133
3416999709.05414,-73.2406463623047
3416999709.53614,-73.3210754394531
3416999710.01814,-73.3830413818359
3416999710.50014,-73.5032653808594
3416999710.98214,-73.7205810546875
3416999711.46414,-74.0645065307617
3416999711.94614,-74.5645751953125
3416999712.42814,-75.2834548950195
3416999712.91014,-76.2995147705078
3416999713.39214,-77.4722518920898
3416999713.87414,-78.6431884765625
3416999714.35614,-79.6538619995117
3416999714.83814,-80.3864364624023
3416999715.32014,-80.9357528686523
3416999715.80214,-81.365348815918
3416999716.28414,-81.7272415161133
3416999716.76614,-82.0734100341797
3416999717.24814,-82.4387435913086
3416999717.73014,-82.7824020385742
3416999718.21214,-83.0963897705078
3416999718.69414,-83.3787536621094
3416999719.17614,-83.6275329589844
3416999719.65814,-83.8490142822266
3416999720.14014,-84.0639419555664
3416999720.62214,-84.2478561401367
3416999721.10414,-84.3718338012695
3416999721.58614,-84.4069595336914
3416999722.06814,-84.29443359375
3416999722.55014,-83.955680847168
3416999723.03214,-83.5240097045898
3416999723.51414,-82.9491208718754
3416999723.99614,-82.9917678833008
3416999724.47814,-83.2144927978516
3416999724.96014,-83.8761291503906
3416999725.44214,-84.7323684692383
3416999725.92414,-85.5179748535156
3416999726.40614,-85.9676818847656
3416999726.88814,-85.7926940917969
3416999727.37014,-84.9141693115234
3416999727.85214,-83.7291030883789
3416999728.33414,-82.6668853759766
3416999728.81614,-82.0643742814239
3416999729.29814,-82.6327667236328
3416999729.78014,-84.133544921875
3416999730.26214,-86.1322860717773
3416999730.74414,-88.0702819824219
3416999731.22614,-89.3888473510742
3416999731.70814,-89.6280899047852
3416999732.19014,-89.0305709838867
3416999732.67214,-87.9194564819336
3416999733.15414,-86.5885848999023
3416999733.63614,-85.3317718505859
3416999734.11814,-84.2982940673828
3416999734.60014,-83.0887145996094
3416999735.08214,-81.8597717285156
3416999735.56414,-80.8509979248047
3416999736.04614,-80.2574636775542
3416999736.52814,-80.4739227294922
3416999737.01014,-81.4527893066406
3416999737.49214,-82.8782653808594
3416999737.97414,-84.3565063476563
3416999738.45614,-85.49365234375
3416999738.93814,-85.9886245727539
3416999739.42014,-86.0896911621094
3416999739.90214,-85.9283676147461
3416999740.38414,-85.5930633544922
3416999740.86614,-85.1722030639648
3416999741.34814,-84.6264419555664
3416999741.83014,-83.5635757446289
3416999742.31214,-82.3424377441406
3416999742.79414,-80.8487853127387
3416999743.27614,-81.2481079101563
3416999743.75814,-82.3704681396484
3416999744.24014,-85.1043701171875
3416999744.72214,-88.6090545654297
3416999745.20414,-91.9375915527344
3416999745.68614,-94.14306640625
3416999746.16814,-94.3683090209961
3416999746.65014,-92.8025894165039
3416999747.13214,-90.2151031494141
3416999747.61414,-87.3706359863281
3416999748.09614,-85.033935546875
3416999748.57814,-83.7568817138672
3416999749.06014,-82.91259765625
3416999749.54214,-82.41357421875
3416999750.02414,-82.2149427404792
3416999750.50614,-82.6355361938477
3416999750.98814,-83.6091995239258
3416999751.47014,-85.7872009277344
3416999751.95214,-88.5060348510742
3416999752.43414,-90.9452362060547
3416999752.91614,-92.2843475341797
3416999753.39814,-91.7283401489258
3416999753.88014,-89.2583923339844
3416999754.36214,-85.7210845947266
3416999754.84414,-82.0063934326172
3416999755.32614,-79.0042877197266
3416999755.80814,-77.429084777832
3416999756.29014,-76.768180847168
3416999756.77214,-76.6854248046875
3416999757.25414,-76.950439453125
3416999757.73614,-77.3328399658203
3416999758.21814,-77.7101287841797
3416999758.70014,-78.449104309082
3416999759.18214,-79.3873519897461
3416999759.66414,-80.2662811279297
3416999760.14614,-80.8273239135742
3416999760.62814,-80.8357391357422
3416999761.11014,-80.3427200317383
3416999761.59214,-79.5473175048828
3416999762.07414,-78.6447906494141
3416999762.55614,-77.8303985595703
3416999763.03814,-77.2499771118164
3416999763.52014,-76.742057800293
3416999764.00214,-76.2852630615234
3416999764.48414,-75.8982925415039
3416999764.96614,-75.5998229980469
3416999765.44814,-75.4098968505859
3416999765.93014,-75.3369598388672
3416999766.41214,-75.2735374844436
3416999766.89414,-75.4322662353516
3416999767.37614,-75.5405883789063
3416999767.85814,-75.6577301025391
3416999768.34014,-75.8125457763672
3416999768.82214,-76.0041961669922
3416999769.30414,-76.2241516113281
3416999769.78614,-76.4638595581055
