Trace
Swept SA
A.24.56,N9000B
3416999336.95014,-83.5388488769531
3416999337.43214,-83.4048004150391
3416999337.91414,-83.0712966918945
3416999338.39614,-82.4854583740234
3416999338.87814,-81.5339889526367
3416999339.36014,-80.3403701782227
3416999339.84214,-79.0752105712891
3416999340.32414,-77.9091033935547
3416999340.80614,-76.9865798950195
3416999341.28814,-76.1834335327148
3416999341.77014,-75.4640731811523
3416999342.25214,-74.843376159668
3416999342.73414,-74.3362274169922
3416999343.21614,-73.9589767456055
3416999343.69814,-73.7259979248047
3416999344.18014,-73.6138534545898
3416999344.66214,-73.5928802490234
3416999345.14414,-73.6334228515625
3416999345.62614,-73.695442199707
3416999346.10814,-73.6967315673828
3416999346.59014,-73.726203918457
3416999347.07214,-73.9083709716797
3416999347.55414,-74.3677444458008
3416999348.03614,-75.2596435546875
3416999348.51814,-76.8458099365234
3416999349.00014,-78.8226318359375
3416999349.48214,-80.7715454101563
3416999349.96414,-82.2740020751953
3416999350.44614,-82.9437408447266
3416999350.92814,-82.888916015625
3416999351.41014,-82.3506240844727
3416999351.89214,-81.5214385986328
3416999352.37414,-80.5939559936523
3416999352.85614,-79.7106399536133
3416999353.33814,-78.5495681762695
3416999353.82014,-77.2097702026367
3416999354.30214,-75.9364013671875
3416999354.78414,-74.9746246337891
3416999355.26614,-74.5484313964844
3416999355.74814,-74.4661858335642
3416999356.23014,-74.9212799072266
3416999356.71214,-75.5179595947266
3416999357.19414,-76.2807235717773
3416999357.67614,-77.1711120605469
3416999358.15814,-78.5036239624023
3416999358.64014,-80.103385925293
3416999359.12214,-81.6482772827148
3416999359.60414,-82.8161849975586
3416999360.08614,-83.2993698120117
3416999360.56814,-83.108642578125
3416999361.05014,-82.4786987304688
3416999361.53214,-81.6352691650391
3416999362.01414,-80.8041076660156
3416999362.49614,-80.1813659667969
3416999362.97814,-79.5906677246094
3416999363.46014,-78.9923629760742
3416999363.94214,-78.4348831176758
3416999364.42414,-77.9666519165039
3416999364.90614,-77.6349411010742
3416999365.38814,-77.4464645385742
3416999365.87014,-77.3604202270508
3416999366.35214,-77.3335952758789
3416999366.83414,-77.3227844238281
3416999367.31614,-77.2922821044922
3416999367.79814,-77.2951812744141
3416999368.28014,-77.3254089355469
3416999368.76214,-77.3496551513672
3416999369.24414,-77.3346557617188
3416999369.72614,-77.2189483642578
3416999370.20814,-76.7257843017578
3416999370.69014,-76.0747375488281
3416999371.17214,-75.0060772114629
3416999371.65414,-75.7303161621094
3416999372.13614,-76.7841720581055
3416999372.61814,-79.2224273681641
3416999373.10014,-82.4806671142578
3416999373.58214,-85.7813339233398
3416999374.06414,-88.3468551635742
3416999374.54614,-89.3955764770508
3416999375.02814,-88.5965728759766
3416999375.51014,-86.7381591796875
3416999375.99214,-84.7557373046875
3416999376.47414,-83.1810695704274
3416999376.95614,-84.1779632568359
3416999377.43814,-87.0697860717773
3416999377.92014,-91.227653503418
3416999378.40214,-95.3706283569336
3416999378.88414,-98.2177658081055
3416999379.36614,-98.5129928588867
3416999379.84814,-96.0294342041016
3416999380.33014,-91.8301467895508
3416999380.81214,-87.0500411987305
3416999381.29414,-82.8240203857422
3416999381.77614,-80.2159423828125
3416999382.25814,-78.8865280151367
3416999382.74014,-78.2582550048828
3416999383.22214,-77.9855041503906
3416999383.70414,-77.7226715087891
3416999384.18614,-77.1520919799805
3416999384.66814,-76.4549102783203
3416999385.15014,-75.7555313110352
3416999385.63214,-75.0627365112305
3416999386.11414,-74.3853073120117
3416999386.59614,-73.725700378418
3416999387.07814,-73.0133819580078
3416999387.56014,-72.2876129150391
3416999388.04214,-71.6275100708008
3416999388.52414,-71.112190246582
3416999389.00614,-70.8174209594727
3416999389.48814,-70.685170320754
3416999389.97014,-70.8140029907227
3416999390.45214,-71.0161209106445
3416999390.93414,-71.3008117675781
3416999391.41614,-71.6390838623047
3416999391.89814,-72.1524276733398
3416999392.38014,-72.792350769043
3416999392.86214,-73.4380416870117
3416999393.34414,-73.9686660766602
3416999393.82614,-74.2655639648438
3416999394.30814,-74.3064041137695
3416999394.79014,-74.1875991821289
3416999395.27214,-74.0110092163086
3416999395.75414,-73.8370003001551
3416999396.23614,-73.8819198608398
3416999396.71814,-73.9279022216797
3416999397.20014,-74.0039367675781
3416999397.68214,-74.1597213745117
3416999398.16414,-74.4449691772461
3416999398.64614,-74.921760559082
3416999399.12814,-75.78369140625
3416999399.61014,-76.8811798095703
3416999400.09214,-77.9514846801758
3416999400.57414,-78.7318344116211
3416999401.05614,-78.9655532836914
3416999401.53814,-78.6270065307617
3416999402.02014,-77.9078140258789
3416999402.50214,-76.9951553344727
3416999402.98414,-76.0762405395508
3416999403.46614,-75.3234786987305
3416999403.94814,-74.5974502563477
3416999404.43014,-73.8542251586914
3416999404.91214,-73.1518096923828
3416999405.39414,-72.548225402832
3416999405.87614,-72.0921401977539
3416999406.35814,-71.6640014648438
3416999406.84014,-71.2937545776367
3416999407.32214,-70.8999776769787
3416999407.80414,-71.1686248779297
3416999408.28614,-71.6500854492188
3416999408.76814,-72.8356628417969
3416999409.25014,-74.4836349487305
3416999409.73214,-76.1703720092773
3416999410.21414,-77.4722595214844
3416999410.69614,-77.9763870239258
3416999411.17814,-77.671272277832
3416999411.66014,-76.8415069580078
